Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6312593596	13035.6601562500	3.3828818798	21347.2421875000	0.2994114271	19212.5179687500	21347.2421875000	19212.5179687500	9212.5179687500	613.5000000000	15.0163292074	19212.5179687500
0.6312709465	13004.8007812500	3.3955261707	21347.2421875000	0.2992297242	19212.5179687500	21347.2421875000	19212.5179687500	9212.5179687500	613.5000000000	15.0163292074	19212.5179687500
0.6312825049	13020.8876953125	3.4139561653	21347.2421875000	0.2999560721	19212.5179687500	21347.2421875000	19212.5179687500	9212.5179687500	613.5000000000	15.0163292074	19212.5179687500
0.6312940814	13029.5195312500	3.4230778217	21347.2421875000	0.2994750002	19212.5179687500	21347.2421875000	19212.5179687500	9212.5179687500	613.5000000000	15.0163292074	19212.5179687500
0.6313056482	13041.1005859375	3.4237358570	21484.0527343750	0.2972846376	19335.6474609375	21484.0527343750	19335.6474609375	9335.6474609375	613.5000000000	15.2170292762	19335.6474609375
0.6313172345	13021.5097656250	3.4507284164	21484.0527343750	0.2967195233	19335.6474609375	21484.0527343750	19335.6474609375	9335.6474609375	613.5000000000	15.2170292762	19335.6474609375
0.6313288071	13043.4736328125	3.4574496746	21484.0527343750	0.2971339543	19335.6474609375	21484.0527343750	19335.6474609375	9335.6474609375	613.5000000000	15.2170292762	19335.6474609375
0.6313403697	13027.6982421875	3.4656124115	21484.0527343750	0.2966515322	19335.6474609375	21484.0527343750	19335.6474609375	9335.6474609375	613.5000000000	15.2170292762	19335.6474609375
0.6313519584	13009.5273437500	3.4861431122	21484.0527343750	0.2967238279	19335.6474609375	21484.0527343750	19335.6474609375	9335.6474609375	613.5000000000	15.2170292762	19335.6474609375
0.6313635298	13041.7402343750	3.4962525368	21443.0507812500	0.2980861299	19298.7457031250	21443.0507812500	19298.7457031250	9298.7457031250	613.5000000000	15.1568797117	19298.7457031250
0.6313751147	13018.6455078125	3.5186238289	21443.0507812500	0.2973650325	19298.7457031250	21443.0507812500	19298.7457031250	9298.7457031250	613.5000000000	15.1568797117	19298.7457031250
0.6313865490	13040.7714843750	3.5311782360	21443.0507812500	0.2979245859	19298.7457031250	21443.0507812500	19298.7457031250	9298.7457031250	613.5000000000	15.1568797117	19298.7457031250
0.6313982646	13015.2089843750	3.5522561073	21443.0507812500	0.2974540321	19298.7457031250	21443.0507812500	19298.7457031250	9298.7457031250	613.5000000000	15.1568797117	19298.7457031250
0.6314098264	13043.1582031250	3.5564248562	21443.0507812500	0.2982984483	19298.7457031250	21443.0507812500	19298.7457031250	9298.7457031250	613.5000000000	15.1568797117	19298.7457031250
0.6314214190	13061.2939453125	3.5929858685	21435.0742187500	0.2982771554	19291.5667968750	21435.0742187500	19291.5667968750	9291.5667968750	613.5000000000	15.1451781530	19291.5667968750
0.6314329632	13043.6865234375	3.5997993946	21435.0742187500	0.2981651178	19291.5667968750	21435.0742187500	19291.5667968750	9291.5667968750	613.5000000000	15.1451781530	19291.5667968750
0.6314445404	13062.9443359375	3.6127681732	21435.0742187500	0.2981903478	19291.5667968750	21435.0742187500	19291.5667968750	9291.5667968750	613.5000000000	15.1451781530	19291.5667968750
0.6314561190	13054.7226562500	3.6343672276	21435.0742187500	0.2982735689	19291.5667968750	21435.0742187500	19291.5667968750	9291.5667968750	613.5000000000	15.1451781530	19291.5667968750
0.6314677166	13032.7080078125	3.6398231983	21435.0742187500	0.2979159592	19291.5667968750	21435.0742187500	19291.5667968750	9291.5667968750	613.5000000000	15.1451781530	19291.5667968750
0.6314792894	13034.8681640625	3.6527810097	21665.9218750000	0.2934860658	19499.3296875000	21665.9218750000	19499.3296875000	9499.3296875000	613.5000000000	15.4838299715	19499.3296875000
0.6314908408	13032.3867187500	3.6702151299	21665.9218750000	0.2935656736	19499.3296875000	21665.9218750000	19499.3296875000	9499.3296875000	613.5000000000	15.4838299715	19499.3296875000
