Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6231765610	25.9804019928	-0.9751583934
0.6232344148	26.3521461487	-0.9879139662
0.6232923091	26.4173145294	-0.9900990129
0.6233501768	20.7650051117	-0.7318130732
0.6234080495	14.8986530304	-0.2389740497
0.6234659143	8.5751380920	0.7743790746
0.6235238100	6.5838556290	1.2610678673
0.6235816615	5.8852586746	1.4575338364
0.6236395263	5.6024899483	1.5412672758
0.6236974120	5.4410681725	1.5901999474
0.6237552854	5.3014659882	1.6331957579
0.6238131572	5.1800622940	1.6711050272
0.6238710317	5.0902848244	1.6994528770
0.6239289197	5.0098667145	1.7250744104
0.6239867778	3.2373871803	2.3487045765
0.6240446387	1.8420568705	2.9286372662
0.6241025106	1.7878508568	2.9529354572
0.6241603953	2.4793021679	2.6531703472
0.6242182570	2.4246156216	2.6760902405
0.6242761392	2.4077839851	2.6831712723
0.6243340016	2.1447229385	2.7954905033
0.6243918873	2.0806193352	2.8233366013
0.6244497271	2.1536548138	2.7916254997
0.6245076105	2.4777727127	2.6538095474
0.6245654694	2.5185930729	2.6367845535
0.6246233556	2.6781880856	2.5709211826
0.6246812256	2.0613324642	2.8317515850
0.6247391151	1.9298557043	2.8895745277
0.6247969751	1.9386087656	2.8856999874
0.6248548557	1.9685809612	2.8724598885
0.6249127153	1.9681646824	2.8726434708
0.6249705686	2.3590824604	2.7037308216
0.6250284581	1.9339836836	2.8877468109
0.6250863268	1.9380919933	2.8859286308
0.6251442038	1.9349273443	2.8873291016
0.6252020574	1.9318246841	2.8887026310
0.6252599321	1.9279651642	2.8904118538
0.6253178090	1.9222762585	2.8929324150
0.6253756762	1.9106602669	2.8980839252
0.6254335574	1.9202479124	2.8938314915
0.6254914265	1.9409908056	2.8846461773
0.6255492930	1.9575029612	2.8773486614
0.6256071699	1.9507124424	2.8803482056
0.6256650286	2.1086087227	2.8111550808
0.6257229123	5.1064505577	1.6943285465
0.6257807803	19.2766132355	-0.6340309978
0.6258386588	19.6676902771	-0.6612288356
0.6258965155	20.8034629822	-0.7341416478
0.6259543787	21.3594875336	-0.7667731643
0.6260122542	21.6800365448	-0.7847332358
0.6260701256	21.9321193695	-0.7984366417
0.6261280014	22.1115245819	-0.8079695106
0.6261858919	22.3238239288	-0.8190195560
0.6262437539	22.4721107483	-0.8265922666
0.6263016205	22.5943183899	-0.8327446580
0.6263594977	22.7124748230	-0.8386181593
0.6264173708	22.8143100739	-0.8436218500
0.6264752284	22.9394245148	-0.8496962190
0.6265331096	23.3438758850	-0.8687928915
0.6265909815	11.7491836548	0.1820136905
0.6266488649	2.2143042088	2.7654774189
0.6267067099	1.9626191854	2.8750901222
0.6267645802	1.9570019245	2.8775699139
0.6268224517	2.2500419617	2.7501478195
0.6268803354	2.3180537224	2.7211334705
0.6269382023	2.3389585018	2.7122571468
0.6269960641	2.7469425201	2.5428869724
0.6270539396	3.1113281250	2.3976597786
0.6271118147	4.0526866913	2.0473351479
0.6271696816	4.1252298355	2.0217552185
0.6272275767	4.3555312157	1.9418326616
0.6272854429	3.8822321892	2.1082165241
0.6273433293	4.0956182480	2.0321731567
0.6274011906	3.5454819202	2.2317614555
0.6274590603	4.1553182602	2.0112028122
0.6275169055	3.6736705303	2.1842141151
0.6275747811	4.0511555672	2.0478770733
0.6276326619	4.0495643616	2.0484404564
0.6276905112	3.7044365406	2.1728978157
0.6277483917	4.0993590355	2.0308551788
0.6278062680	3.3107666969	2.3205060959
0.6278641260	2.4566738605	2.6626381874
0.6279220096	2.8323175907	2.5083577633
0.6279798649	6.6845955849	1.2339129448
0.6280377534	2.4696774483	2.6571946144
0.6280956147	2.5358099937	2.6296257973
0.6281534778	2.3482611179	2.7083134651
0.6282113542	2.4577000141	2.6622083187
0.6282692271	2.3392155170	2.7121481895
0.6283270974	2.4212031364	2.6775248051
0.6283849753	2.5569617748	2.6208486557
0.6284428421	2.4325339794	2.6727633476
0.6285007218	2.6503558159	2.5823276043
0.6285585728	2.4549283981	2.6633694172
0.6286164486	3.0926334858	2.4049754143
0.6286743202	2.4638562202	2.6596305370
0.6287321790	2.1123828888	2.8095152378
0.6287900672	2.5189859867	2.6366209984
0.6288479319	4.4005780220	1.9264258146
0.6289058073	2.1316766739	2.8011424541
0.6289636732	1.8902114630	2.9071679115
0.6290215427	2.1735968590	2.7830092907
0.6290794138	2.3208990097	2.7199242115
0.6291372809	2.1219918728	2.8053431511
0.6291951618	1.7850106955	2.9542124271
0.6292530244	3.5431249142	2.2326416969
0.6293108957	9.4254121780	0.5957692266
0.6293687684	2.3655302525	2.7010028362
0.6294266233	1.6205919981	3.0287926197
0.6294844979	2.5852737427	2.6091310978
0.6295423862	1.8664658070	2.9177410603
0.6296002407	2.0973987579	2.8160295486
0.6296581204	2.1157166958	2.8080673218
0.6297159791	1.7260905504	2.9807898998
0.6297738614	2.0556170940	2.8342485428
0.6298317471	1.7420083284	2.9735934734
0.6298895900	2.0605776310	2.8320813179
0.6299474695	1.8318822384	2.9331874847
0.6300053496	1.7633137703	2.9639801979
0.6300632007	2.0063524246	2.8558340073
0.6301210689	1.6172581911	3.0303182602
0.6301789402	1.9195961952	2.8941204548
0.6302368294	1.7138918638	2.9863131046
0.6302947123	1.8113319874	2.9423928261
0.6303525764	1.8820798397	2.9107856750
0.6304104532	1.6282743216	3.0252790451
0.6304683108	1.7977898121	2.9484698772
0.6305261921	1.5514250994	3.0605554581
0.6305840529	1.4824544191	3.0924599171
0.6306419210	1.3787070513	3.1408908367
0.6306997906	1.3175523281	3.1696882248
0.6307576587	1.2925562859	3.1815123558
0.6308155354	1.2607536316	3.1966013908
0.6308734177	1.2692772150	3.1925523281
0.6309312771	1.2940200567	3.1808190346
0.6309891375	1.2931351662	3.1812381744
0.6310470017	1.3263903856	3.1655149460
0.6311048785	1.3298058510	3.1639032364
0.6311627498	1.3356057405	3.1611676216
0.6312206062	1.3349797726	3.1614627838
0.6312785032	1.3358590603	3.1610481739
0.6313363491	1.3222086430	3.1674890518
0.6313942290	1.3211741447	3.1679775715
0.6314520887	1.3210908175	3.1680169106
0.6315099667	1.3168826103	3.1700046062
0.6315678387	1.3126925230	3.1719846725
0.6316257008	1.3121709824	3.1722311974
0.6316835800	1.3046755791	3.1757755280
0.6317414539	1.3049947023	3.1756246090
0.6317993243	1.3046216965	3.1758010387
0.6318572067	1.3005372286	3.1777336597
0.6319150717	1.3006637096	3.1776738167
0.6319729363	1.3027424812	3.1766901016
0.6320307919	1.6127868891	3.0323653221
0.6320886891	20.8549461365	-0.7372441292
0.6321465413	4.4165129662	1.9209932089
0.6322044035	1.2455428839	3.2038362026
0.6322622720	1.2544157505	3.1996145248
0.6323201478	1.2493361235	3.2020308971
0.6323780126	1.2279825211	3.2122030258
0.6324358952	1.2334693670	3.2095870972
0.6324937636	1.2419574261	3.2055432796
0.6325516171	1.2407172918	3.2061338425
0.6326095082	1.0471744537	3.2992587090
0.6326673673	1.0868492126	3.2800135612
0.6327252572	1.0877447128	3.2795801163
0.6327831164	1.0715188980	3.2874403000
0.6328409712	1.0863679647	3.2802464962
0.6328988460	1.0782897472	3.2841587067
0.6329567146	1.0686191320	3.2888464928
0.6330145912	1.0610928535	3.2924981117
0.6330724483	1.0774738789	3.2845540047
0.6331303428	1.0917265415	3.2776532173
